Compositions	Youngs_Modulus_GPa	Shear_Modulus_GPa	Bulk_Modulus_GPa	density
Ni60Zr20Nb15Pd5	148	None	873	None
Fe70B5C5Si3Al5Ga2P10	149.7	58.5	113.4	None
Ni62.5Zr20Nb15Pd2.5	150	None	867	None
Fe74Nb6B17Y3	150	None	None	None
Fe75P15C10	150	None	None	6.95
Fe80B17Si3	150	None	None	None
Fe74.5Mo5.5P12.5C5B2.5	151.1	56.9	None	7.54
Fe70Mo5Ni5P12.5C5B2.5	152.5	57.3	None	7.48
Fe68Mo5Ni5Cr2P12.5C5B2.5	152.7	57.9	None	7.5
Ni60B20Fe20	153	None	None	7.49
Fe77B20Si3	155	None	None	None
Ni82B18	155	None	None	None
Ti42.2Zr8.4Cu37.1Ni6.3Ta6	155	None	None	None
Ni50Fe30B20	156	58	156	7.85
(Fe0.76Si0.096B0.084P0.06)99.9Cu0.1	158	None	None	None
Fe83B17	158	60	None	7.47
Fe80P11C9	161	61	148	None
((Fe0.8Co0.2)0.75B0.2Si0.05)96Nb4	161	61	None	None
Ni60Sn6(Nb0.8Ta0.2)34	161.3	None	None	None
Fe78B22	162	None	None	7.38
 Fe0.76Si0.096B0.084P0.06	163	None	None	None
(Fe0.76Si0.096B0.084P0.06)99.7Cu0.3	163	None	None	None
(Fe0.76Si0.096B0.084P0.06)99.5Cu0.5	163	None	None	None
(Fe0.76Si0.096B0.084P0.06)99.4Cu0.6	163	None	None	None
Fe50Ni30B20	163	60.5	180	None
Ni60Sn6(Nb0.6Ta0.4)34	163.7	None	None	None
Fe76Si9.6B8.4P6	165	None	783	None
Co83B17	165.5	None	None	None
Fe60Ni20B20	166	61	206	None
Fe60B20Ni20	167	61	206	7.55
Fe75B20Ni5	168	63	170	7.43
Fe70B20Ni10	169	62	207	7.47
Fe60Cr3Mo10P14C10B3	171	64	174	None
Fe50Co30B20	171	None	None	7.59
Fe70B20Co10	171	None	None	7.46
Cu47Ti33Zr11Ni6Sn2Si1	171	None	None	None
Fe62Cr3Mo10P12C10B3	172	64.6	172	None
Fe77B23	172	None	None	7.34
Fe63Cr3Mo10P12C7B5	173	65.2	174	None
Fe60B20Co20	173	65	164	7.56
Fe35.5Ni35.5Nb6B23	174	64.9	203.8	7.763
Co60B20Fe20	174.1	65.7	166	None
Co40Fe40B20	174.2	65	182	7.765
Fe40Co40B20	174.2	65	184	None
Co50Fe30B20	174.4	None	None	7.84
Co70B20Fe10	174.7	None	None	8.06
Fe63Cr3Mo10P12C9B3	175	65.5	175	None
Fe63Cr3Mo10P12C8B4	175	65.5	174	None
Fe55Ni15Mo5P10C10B5	175	None	None	None
Co74B20Fe6	175	67	163	8.12
Co76.5B23.5	175	None	None	None
Fe71.5B25.5Si3	175	None	None	None
Fe74B23Si3	175	None	None	None
Co74Fe6B20	175	66.7	162	None
Fe64Cr3Mo10P10C10B3	176	66	174	None
Co80B20	176	None	None	8.22
Fe66Cr3Mo10P8C10B3	177	66.5	172	None
Fe65Cr2Mo9P10C8B6	177	66.8	174	None
Fe66Cr3Mo14C15B6	177	None	None	None
Fe75B25	178	None	None	7.27
Fe70Mo5P10C10B5	179	None	None	None
Fe65Ni5Mo5P10C10B5	179	None	None	None
Co75B25	179.4	None	None	None
Fe68Cr3Mo10P6C10B3	180	67.7	172	None
Fe55Co10Ni5Mo5P10C10B5	180	None	None	None
Co74B26	180	None	None	None
Fe63Cr3Mo12P10C7B5	183	68.8	179	None
Ni60Nb33.8Sn6.2	184	54.8	None	None
Fe76P5(Si0.3B0.5C0.2)19	185	None	None	None
Fe69B28S3	185	None	None	None
Ni60Nb33.1Sn6.9	185	55	None	None
Co70.4Si15B10Fe4.8	187	None	None	None
[(Fe0.9Co0.1)0.75B0.2Si0.05]96Nb4	190	None	None	None
((Fe0.9Co0.1)0.75B0.2Si0.05)96Nb4	190	None	None	None
Fe71.2B24Y4.8	190	None	None	None
(Fe71.2B24Y4.8)98Nb2	190	None	None	None
(Fe60Cr10Mo9C13B6Er2)95Cu5	191.3	72.8	171.4	7.921
(Fe0.9Co0.1)64.25Mo14C15B6Er0.75	192	73	175	None
(Fe0.9Co0.1)64.875Mo14C15B6Er0.125	193	73	178	None
(Fe0.9Co0.1)64.75Mo14C15B6Er0.25	193	73	175	None
Fe61Mn10Cr4Mo6C15B6Er1	193	75	146	None
Fe71Nb6B23	194	73.4	182.6	7.423
(Fe60Cr10Mo9C13B6Er298) In2	194.1	76.3	142.2	7.752
Fe53.25Ni17.75Nb6B23	195	73.4	186.5	7.667
(Fe71.2B24Y4.8)96Nb4	195	None	None	None
(Fe0.9Co0.1)64Mo14C15B6Er1	196	73	177	None
Fe65Cr9Mo8C10B6Er2	196	75	164	None
Ni60Nb37Sn3	199	58.6	None	None
(Fe60Cr10Mo9C13B6Er2)95Ni5	199.2	76.6	166.6	7.934
Fe48Cr15Mo14Er2C15B6	200	None	None	None
Fe50Mn10Mo14Cr4C16B6	200	76.1	180	None
(Fe0.9Co0.1)58.5Cr6Mo14C15B6Er0.5	200	76.2	190	None
Fe72B20Si4Nb4	200	None	None	None
Fe51Mn10Mo14Cr4C15B6	200	76.1	180	None
Fe72Si4B20Nb4	200	None	None	None
Fe60.5Cr4Mo14C15B6Er0.5	202	76.6	184	None
[(Fe0.6Ni0.4)0.75B0.2Si0.05]96Nb4	203	None	770	None
(Fe60Cr10Mo9C13B6Y2)98V2	203.7	78.1	172.7	7.714
Fe59Cr6Mo14C15B6	204	77.3	188	None
Fe63Mo14C15B6Er2	204	77.8	178	None
(Fe60Cr10Mo9C13B6Er2)95Be5	204.4	78.8	167.9	7.628
[(Fe0.8Co0.2)0.75B0.2Si0. 05]96Nb4	205	None	None	None
[(Fe0.6Co0.1Ni0.3)0.75B0.2Si0.05]96Nb4	205	None	None	None
(Fe71.2B24Y4.8)94Nb6	205	None	None	None
(Fe60Cr10Mo9C13B6Er2)98Be2	205.1	79.2	167.2	7.813
(Fe60Cr10Mo9C13B6Er2)98Pb2	206.7	79.6	170.7	7.977
Fe49Cr15Mo14C19B2Er1	209	78.8	199	None
Fe55Cr8Mo14C15B6Er2	209	80	180	None
[(Fe0.7Co0.3)0.75B0.2Si0.05]96Nb4	210	None	None	None
[(Fe0.6Co0.4)0.75B0.2Si0.05]96Nb4	210	None	None	None
[(Fe0.5Co0.5)0.75B0.2Si0.05]96Nb4	210	None	None	None
[(Fe0.6Co0.2Ni0.2)0.75B0.2Si0.05]96Nb4	210	None	None	None
[(Fe0.6Co0.3Ni0.1)0.75B0.2Si0.05]96Nb4	210	None	None	None
Fe49Cr15Mo14C18B3Er1	210	80.2	200	None
((Fe0.7Co0.3)0.75B0.2Si0.05)96Nb4	210	None	None	None
((Fe0.6Co0.4)0.75B0.2Si0.05)96Nb4	210	None	None	None
(Fe71.2B24Y4.8)92Nb8	210	None	None	None
Fe49Cr15Mo14C15B6Er1	215	81.9	200	None
Fe72Al14B14	215	None	None	None
[(Fe0.8Ni0.2)0.75B0.2Si0.05]96Nb4	215	None	None	None
Fe48Mo14Cr15Y2C15B6	215	81.7	196	None
Fe50Cr15Mo14C15B6	217	82	204	None
Fe49Cr15Mo14C13B8Er1	220	82.5	201	None
Fe41Co7Cr15Mo14C15B6Y2	220.2	84.1	192.5	7.904
[(Co0.535Fe0.1Ta0.055B0.31)0.98Mo0.02]98Si2	227	None	None	None
W46Ru37B12Si5	229	None	None	None
[(Co0.535Fe0.1Ta0.055B0.31)0.98Mo0.02]99Si1	238	None	None	None
Co57Ta8B35	240.1	91.3	216.5	9.178
W45Ru36B17Hf2	262	None	None	None
Fe41Co7Cr15Mo14Y2C15B6	265	None	None	None
Co43.5Fe20Ta5.5B31.5	268	None	None	None
Co43Fe20Ta5.5B31.5	268	None	None	None
(Co0.535Fe0.1Ta0.055B0.31)98Mo2	282	None	None	None
CoFeTaBMo	282	None	None	None
Co43.5Ta6.1B50.4	295	None	None	None
Al88Ni9Ce2Fe1	70	None	None	None
Pt60Cu16Co2P22	96	None	None	None
Zr58Co26Al16	106.5	39	133.5	None
Zr57Co27Al16	108.1	39.5	136.6	None
Zr54Co30Al16	110.7	40.5	138.6	None
Zr52Co32Al16	113.5	41.5	142.6	None
Zr51Co33Al16	114.5	41.9	142.6	None
CoCrMo	232	None	None	None
Zr70Cu12.5Ni10Al7.5Ti0	72.5	26.2	0.9	None
Zr69Cu12.5Ni10Al7.5Ti1	72.9	26.5	0.7	None
Zr68Cu12.5Ni10Al7.5Ti2	73.5	26.7	1.1	None
Zr66Cu12.5Ni10Al7.5Ti4	73.6	26.6	0.2	None
Zr64Cu12.5Ni10Al7.5Ti6	74.2	27	0.8	None
Zr62Cu12.5Ni10Al7.5Ti8	74.9	27.44	0.4	None
