Compositions	Youngs_Modulus_GPa	Shear_Modulus_GPa	Bulk_Modulus_GPa	density
Zr52.5Al10Ti5Cu17.9Ni14.6	89	None	None	None
Cu43Zr43Ag7Ti7	89	32.4	116.7	None
Zr60Al15Ni15Co10	89	None	None	None
Pd77.5Cu6Si16.5	89.7	31.8	166	None
Pd77.5Cu6Si16.5	89.7	31.8	None	10.4
Cu64Zr36	89.9	None	None	7.54
Pd77.5Si16.5Ni6	89.9	31.9	170	10.4
Pd79.5Si16.5Ni4	89.9	None	None	10.5
Zr52.25Cu28.5Ni4.75Al9.5Ta5	90	None	None	None
(Cu0.5Zr0.5)95Al5	90	None	693	None
Ti40Zr25Ni3Cu12Be20	90	None	None	None
Zr52.5Cu17.9Ni14.6Al10Ti5	90	None	None	None
Cu55Zr45	90	None	None	None
Pd78Si16.5Ag7.5	90	None	None	None
Zr55Al15Ni10Cu20	90	None	None	6.51
Cu47.5Zr47.5Al5	90	None	None	None
Cu45Zr45Al7Gd3	90.1	33.2	105.86	None
(Cu50Zr50)90Al7Gd3	90.1	33.2	105.8	7.122
Zr48Cu45Al7	90.1	33	112.8	7.1
(Pd0.80Fe0.20)80P20	90.3	None	160.19	10.04
(Pd0.8Ni0.2)80P20	90.35	None	170.2	10.08
Zr52.5Cu17.9Ni14.6Al10Ti5	90.41	33.03	114.8	6.701
Zr50Cu43Ag7	90.5	32.8	124.7	None
(Pd0.75Fe0.25)80P20	90.5	None	160.45	9.98
Cu43Zr50Ag7	90.5	32.8	124.7	None
Zr55Cu20Ni10Al10Ti5	90.5	32.7	None	6.61
(Cu50Zr50)95Al5	90.5	33	113.7	None
(Cu50Zr50)92Al7Gd1	90.6	32.9	123.7	7.127
(Cu50Zr50)92Al7Gd1	90.6	32.9	123.7	None
(Cu50Zr50)93Al7Gd1	90.6	None	None	None
(Pd0.70Fe0.30)80P20	90.6	None	160.12	9.9
(Pt0.80Fe0.20)75P25	90.61	None	200.19	15.71
Pd77.5Si16.5Cu6	90.7	33	None	None
Pd73.5Si16.5Ni10	90.9	None	None	10.4
(Zr58.9Ti5.6Cu22.2Ni13.3)88Al12	91	33.4	111.4	6.696
Pd60Cu20P20	91	32.3	None	9.78
Zr60Al15Ni20Co6	91	None	None	None
(Cu47.5Zr47.5Al5)97Co3	91	None	None	None
(Cu47.5Zr47.5Al5)95Co5	91	None	None	None
(Cu47.5Zr47.5Al5)90Co10	91	None	None	None
(Zr0.59Ti0.06Cu0.22Ni0.13)88Al12	91.1	33.4	111.5	6.704
Cu50Zr45Al5	91.2	33.3	117.3	7.223
Zr60Ni21Al19	91.2	33.5	109.1	6.3
Zr60Fe2.5Cu27.5Al10	91.4	33.7	104.1	None
Zr46Cu37.64Ag8.36Al8	91.5	33.5	None	7.229
Zr41Ti14Cu12.5Ni2Be22.5Fe8	91.6	34	99.6	5.932
Zr52.5Ti5Cu17.9Ni14.6Al10	91.7	33.6	112.3	6.701
Pd64Ni16P20	91.9	32.7	166	None
Pd64Ni16P20	91.9	32.7	None	10.1
Al20Co25Zr55	92	None	None	None
Al16Co28Zr56	92	None	None	None
Pd40Cu30Ni10P20	92	34.5	None	9.28
(Zr55Al15Cu20Ni10)98Y2	92	33.8	110.5	6.559
Cu64Zr36	92	34	104.3	None
Pd43Ni10Cu27P20	92	33	None	None
Zr53Ti5Ni10Cu20Al12	92	None	None	None
Zr53Ti5Cu20Ni12Al15	92.1	33.8	112.3	6.572
(Zr55Al15Ni10Cu20)98Y2	92.1	33.8	110.6	6.56
[Zr55Al15Ni10Cu20]98Y2	92.1	33.8	110.6	6.56
Cu64Zr36	92.3	None	None	None
(Cu50Zr50)94Al6	92.4	33.8	113.8	7.129
Cu47Zr47Al6	92.4	33.8	None	7.13
(Zr0.59Ti0.06Cu0.22Ni0.13)85.7Al14.3	92.4	33.9	112.3	6.585
Ti48Zr20V12Cu5Be15	92.4	None	None	5.2
Zr56Co28Al16	92.4	33.9	113.1	6.5
Zr35Ti30Cu7.5Be27.5	92.5	34.5	96.5	5.329
Zr46Cu34.64Ag8.36Al8Be3	92.5	33.9	None	None
Ti40Zr25Ni3Cu12Be20	92.6	None	None	None
Zr36Ti14Cu12.5Ni5Be20.5Fe12	92.7	34	113.4	6.52
(Zr59Ti6Cu22Ni13)85.7Al14.3	92.7	34	112.7	6.608
(Zr59Ti6Cu22Ni13)85.7Al14.3	92.7	34	112.6	None
(Zr0.59Ti0.06Cu0.22Ni0.13)85.7Al14.3	92.7	34	None	6.608
Zr50.6Ti5.1Cu18.9Ni11.1Al14.3	92.7	34	None	None
Pd77.5Si16.5Cu6	92.9	32.9	174.6	10.4
(Cu46Zr42Al7Y5)96Sn4	92.9	34.4	103.2	7.053
Pd77.5Cu6Si16.5	92.9	32.9	174.7	None
Zr52.5Cu17.9Ni14.6Al10Ti5	92.9	33.93	118.19	6.643
Pd64Fe16P20	93	33.1	161.9	10.04
Pd40Cu40P20	93	33.2	158	None
Pd40Cu40P20	93	33.2	None	9.3
Pd64Fe16P20	93	33.1	161.8	10.037
Zr41.25Ti13.75Ni10Cu12.5Be22	93	None	None	None
Pd64P20Fe16	93	33.1	161.9	10.04
Pd64Ni16P20	93.5	32.8	172	10.08
Pd64P20Ni16	93.5	32.8	172	10.08
Zr55Al10Ni10Cu15Be10	93.7	34.4	111.6	6.408
(Cu50Zr50)92Al8	93.7	34.3	116.4	7.076
Cu46Zr46Al8	93.7	34.3	None	7.08
Zr46Cu46Al8	93.7	34.3	None	None
Zr41Ti14Cu12.5Ni2Be22.5Fe8	93.8	35	98.4	5.938
Cu60Zr30Ti10	93.88	None	None	None
Zr48Nb8Ni12Cu14Be18	93.9	34.3	None	6.7
Zr48Nb8Cu14Ni12Be18	93.9	34.3	118.8	9.19
Zr48Nb8Cu14Ni12Be18	94	34.4	118.4	6.7
Ti45Cu41Ni9Zr5	94	None	None	None
Pd77.5Cu6Si16.5	94	None	None	None
Zr40Mg0.5Ti15Cu11Ni11Be21.5Y1	94.2	34.7	109.9	6.048
Zr40Ti15Cu11Ni11Be21.5Mg0.5Y1	94.2	34.7	109.8	6.044
Zr52.5Cu17.9Ni14.6Al10Ti5	94.2	34	None	6.69
Zr55.8Ni24.8Al19.4	94.3	34.6	113.9	6.328
Pd81Si19	94.5	33.4	182.6	10.61
Zr55Pd10Cu20Ni5Al10	94.5	None	None	None
Zr52.5Cu17.9Ni14.6Al10Ti5	94.66	34.38	128.04	6.607
Ti45Zr20Be35	94.8	35.7	111.4	4.62
Ti40Zr25Be30Cr5	94.8	35.2	103.1	4.93
Pt57.5Cu14.7Ni5.3P22.5	94.8	33.3	198.7	15.02
Pt57.5Cu14.7Ni5.3P22.5	94.8	None	None	None
Zr55Cu30Al10Ni5	94.8	34.7	None	None
Pt57.5Cu14.7Ni5.3P22.5	94.8	33.3	None	15.3
Ti50Cu25Ni15Sn3Be7	95	None	None	5.93
Zr55Nb9Cu15Ni11Al10	95	34.8	117.3	6.875
Ti41.3Cu43.7Hf13.9Si1.1	95	None	None	None
Zr46.75Ti8.25Ni10Cu7.5Be27.5	95	35	110.3	6
Zr58.5Cu15.6Ni12.8Al10.3Nb2.8	95	None	None	None
Ni37.5Pd37.5P25	95	None	None	None
Pd80Fe20P20	95	33.9	164.5	9.98
Ti41.5Zr2.5Hf5Cu42.5Ni7.5Si1	95	None	None	None
Zr53Ti5Ni10Cu20Al12	95	None	None	None
Ti40Zr25Ni8Cu9Be18	95	34	108	5.6
Ni76P24	95	None	None	None
(Zr0.59Ti0.06Cu0.22Ni0.13)84Al16	95.1	35.2	106.7	6.545
Pd68.5Si16.5N15	95.1	None	None	10.3
Zr46Cu32.64Ag8.36Al8Be5	95.1	35	None	7.037
Cu43Zr43Ag7In7	95.2	34.8	119.4	None
Zr45Nb8Cu13Ni4Be22Fe8	95.5	35.1	114.9	6.543
Cu60Zr29Ti10Sn1	95.5	36.6	100.7	7.408
Zr46.75Ti8.25Cu7.5Ni10Be27.5	95.6	35.3	None	6
Zr48Nb8Cu12Be24Fe8	95.7	35.2	113.6	6.436
Zr48Nb8Cu12Fe8Be24	95.7	None	None	None
Zr46.75Ti8.25Cu7.5Ni10Be27.5	95.7	35.2	113.4	None
Zr48Nb8Cu12Be24Fe8	95.7	35.2	113.4	None
Zr48Nb8Cu12Fe8Be24	95.7	35.2	113.6	None
Pt57.5Cu14.7Ni5P22.8	95.7	33.4	None	15.2
(Zr58.9Ti5.6Cu22.2Ni13.3)84Al16	95.8	35.3	113.3	6.553
Pd56Fe24P20	96	34.3	161.2	9.9
Pd77.5Si16.5Cu6	96	None	None	None
Pd77.5Si16.5Cu6	96	34.8	174.6	10.777
Zr59Ta5Cu18Ni8Al10	96	None	673	None
Zr48Nb8Cu12Fe8Be24	96	35.3	113.7	6.447
Fe81Al19	96	None	None	None
Zr41.25Ti13.75Ni10Cu12.5Be22	96	None	None	None
Pd56Fe24P20	96	34.3	161.2	9.9
Pd40Ni40P20	96	None	None	None
Ti40Zr29Cu8Ni7Be16	96	None	None	None
Zr46Cu31.64Ag8.36Al8Be6	96	35.3	None	6.979
Pt60Ni15P25	96.1	33.8	201.9	15.7
Pt60Ni15P25	96.1	33.8	202	None
Ti40Zr25Ni3Cu12Be20	96.2	35.5	109.6	5.445
Zr46Cu30.14Ag8.36Al8Be7.5	96.3	35.4	None	6.933
Cu54Zr36Ag10	96.4	35.2	124.8	None
Ti40Zr25Ni3Cu12Be20	96.5	35.5	109.6	5.445
Cu50Ti50	96.7	None	None	6.25
Cu50Ti50	96.7	None	None	None
Ti40Zr10Cu34Pd14Sn2	96.8	None	None	6.97
Zr50Cu25Be25	96.8	35.8	108.9	6.12
Zr50Cu25Be25	96.8	35.8	None	None
Zr41.2Ti13.8Cu12.5Ni10Be22.5	97	None	620	5.9
Zr60Al10Co3Ni9Cu18	97	None	None	None
Ni49Fe29P14B6Al2	97	54	None	None
Zr66.4Cu10.5Ni8.7Al8Ta6.4	97	None	None	None
Zr46Cu27.64Ag8.36Al8Be10	97.1	35.8	None	6.827
Zr52.5Al10Ni10Cu15Be12.5	97.2	35.9	112	6.295
Zr41.2Ti13.8Cu12.5Ni10Be22.5	97.2	None	None	6.1
Zr41.2Ti13.8Cu12.5Ni10Be22.5	97.2	35.9	None	6.1
Zr41.2Ti13.8Ni10Cu12.5Be22.5	97.2	35	None	None
Zr45.25Cu46.25Al7.5Sn1	97.3	37.5	118	None
Zr65Al10Ni10Cu15	97.3	35.9	112	6.271
Ti40Zr25Cu12Ni3Be20	97.3	None	None	None
Zr33Ti30Cu7.5Be27.5Al2	97.7	36.7	97.2	5.26
Zr48Cu36Al8Ag8	97.7	None	None	None
Ti43.15Zr9.59Cu36.24Ni9.06Sn1.96	97.8	None	None	6.37
Zr41Ti14Cu12.5Ni8Be22.5Fe2	97.8	36.1	112.3	6.083
Pd40Ni10Cu30P20	98	35.1	None	None
Fe78B20Mo2	98	None	None	None
Ni40Pd40P20	98	None	None	9.48
Pd62.6Ni20.9Si16.5	98	None	None	10.1
Cu49Zr36Ag10Ti5	98	36.1	114.5	None
Pd39Ni10Cu30P21	98.1	35.1	158.5	9.137
Pd40Ni40P20	98.1	None	None	None
Pd39.1Ni10.1Cu29.9P20.9	98.2	35.2	158.7	None
Pd39Ni10Cu30P21	98.2	35.1	159.1	None
Cu57Zr36Ag7	98.3	35.8	130.5	None
Zr41Ti14Cu12.5Ni5Be22.5Fe5	98.4	36.3	112.3	6.108
Zr52.5Cu17.9Ni14.6Al10Ti5	98.49	35.58	141.41	6.549
Ti30Zr35Be35	98.5	36.4	111.5	4.91
Zr46Cu25.14Ag8.36Al8Be12.5	98.7	36.5	None	None
Zr45Nb10Cu13Ni10Be22	98.9	36.4	117.9	6.523
Fe75P16Si6Al3	99	None	None	None
Zr50Cu37Al10Pd3	99	None	None	None
(Cu50Zr50)90Al10	99.1	36.3	121.4	7.204
Ti40Zr25Be35	99.6	37.2	202.7	4.69
Pd40Ni10Cu30P20	99.8	35.5	172.6	9.259
Zr45.4Ti9.6Cu10.15Ni8.6Be26.25	99.9	37	111.9	6.048
Zr46.75Ti8.25Cu7.5Ni10Be27.5	100	37.2	None	None
Zr46.75Ti8.25Cu10.15Ni10Be27.25	100	37.2	111.9	None
Cu47.37Zr42.63Al10	100	37	117	None
Cu47Ti33Zr11Ni8Si1	100	None	None	None
Zr44Cu44Al6Ag6	100	None	None	None
Fe82P15Si3	100	None	None	None
Ni41.5Pd41.5P17	100	None	None	None
Ni42.5Pd42.5P15	100	None	None	None
Ni76P24	100	35	None	7.79
Zr56Ni20Al15Nb4Cu5	100	None	None	None
Zr46Cu22.64Ag8.36Al8Be15	100	37	None	6.617
(Pd0.6Ni0.4)80P20	100.16	None	170.67	9.83
Ni80P20	100.25	None	160.1	8.13
(Pd0.4Ni0.6)80P20	100.49	None	170.35	9.19
Zr46.75Ti8.25Cu7.5Ni10Be27.5	100.5	37.2	111.9	6.014
Zr46.75Ti8.25Cu7.5Ni10Be27.5	100.5	None	None	None
Zr46.75Ti8.25Cu7.5Ni10Be27.5	100.5	37.2	111.9	None
Cu50Ar50	100.5	None	None	None
(Pd0.2Ni0.8)80P20	100.58	None	160.98	8.75
Zr45.4Ti9.6Cu10.15Ni8.6Be26.25	100.9	None	None	None
Z55Al10Ni5Cu30	101	36.6	140	None
Al17Zr54Co29	101	None	None	None
Cu60Hf10Zr20Ti10	101	None	None	None
Cu60Hf10Zr20Ti10	101	36.9	None	None
Zr41Ti14Cu12.5Ni10Be22.5	101	37.4	114.8	6.162
Pd58.5Ni25Si16.5	101	None	None	10.1
Ti40Zr29Cu8Ni7Be16	101	None	None	None
Cu47Ti33Zr11Ni8	101	None	None	None
(Cu50Zr43Al7)99Si1	101	None	None	None
Cu60Zr20Hf10Ti10	101.1	36.9	128.2	8.315
Cu60Zr20Hf10Ti10	101.1	36.9	128.2	8.315
Cu60Zr20Ti10Hf10	101.1	None	None	None
Zr53Ni23.5Al23.5	101.2	37.4	115.1	6.171
Zr41Ti14Cu12.5Ni10Be22.5	101.2	37.4	114.1	6.13
Zr41.2Ti13.8Ni10Cu12.5Be22.5	101.3	34.1	101.3	5.9
Zr41.2Ti13.8Cu10Ni12.5Be22.5	101.3	None	None	None
Zr55Cu30Al10Ni5	101.4	37.4	None	None
Zr65Al10Ni10Cu15	101.5	None	None	None
Pd48Ni32P20	101.6	36.2	176.7	None
Zr55Al19Co19Cu7	101.7	30.8	114.9	None
Zr55Cu7Co19Al19	101.7	37.6	None	None
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)98Al2	101.8	32.8	110.6	5.89
Cu36Zr48Ag8Al8	101.9	None	None	None
Cu50Zr45Al5	102	33.3	None	None
Cu47Ti33Zr11Ni8Fe1	102	None	None	None
Zr66.4Cu10.5Ni8.7Al8Ta6.4	102	None	None	None
(Cu50Zr43Al7)98.5Si1.5	102	None	None	None
Ni80P20	102.5	36.7	161	8.13
Ni80P20	102.8	36.9	159	8.133
Cu48Zr48Al4	102.8	None	None	None
Zr52.25Cu28.5Ni4.75Al9.5Ta5	103	None	None	None
Cu57.5Hf27.5Ti15	103	37.3	None	9.91
(Cu50Zr50)97Al3	103	None	None	None
Zr55Al10Ni5Cu30	103	None	None	None
Fe76P16C4Al2Si2	103	58	None	None
Pd53.4Ni30.1Si16.5	103	None	None	9.87
Pd77Si17Cu6	103	None	None	None
Ti41.5Zr2.5Hf5Cu42.5Ni7.5Si1	103	None	None	None
Zr55Cu31Ti14	103	None	None	None
Ni80P20	103	36.7	161	None
Cu36Zr48Ag8Al8	103.6	None	None	None
Zr41Ti14Cu12.5Be22.5Fe10	103.9	38.7	109.8	6.086
Cu42Zr42Ag8Al8	104	None	None	None
Zr50Al10Ni10Cu15Be15	104.1	38.8	110.9	6.311
Cu36Zr48Ag8Al8	104.2	None	None	None
Zr55Cu30Ni10Al5	104.4	None	None	6.932
Pd32Ni48P20	104.9	37.5	173.4	6.715
Ni48Pd32P20	104.9	37.5	173.5	9.19
(Ti0.5Cu0.5)84Ni7Hf5Zr3Si1	105	None	687	None
Zr52.5Al10Ti5Ni14.6Cu17.9	105	None	None	None
Co80P20	105	None	None	None
Pd48.4Ni35.1Si16.5	105	None	None	9.76
Cu47Ti33Zr11Ni8	105	None	None	None
Be40Ti50Zr10	105	None	None	None
Co80P20	105	None	None	None
Zr30Ti30Cu7.5Be27.5Al5	105.1	39.7	98.3	5.134
Zr55Cu30Ni10Al5	105.4	None	None	6.864
Ti45Zr20Be30Cr5	105.6	39.2	114.5	4.76
Zr41Ti14Cu12.5Ni9Be22.5C1	105.6	39.5	107.8	6.171
Zr41Ti14Cu12.5Ni9Be22.5C1	105.7	39.5	107.3	6.161
Pd16Ni64P20	105.8	37.9	169.8	8.75
Ti42.5Cu42.5Ni7.5Zr7.5	106	None	None	None
Cu60Ti40	106	None	None	6.69
Ni64P20Pd16	106	38	170	8.75
Pd43.3Ni40.1Si16.5	106	None	None	9.62
Cu60Zr22Ti18	106	None	None	None
Ti40Zr29Cu8Ni7Be16	106	None	None	None
(Cu50Zr43Al7)99.5Si0.5	106	None	None	None
Zr53Ti5Ni10Cu20Al12	106	None	None	None
Cu36Zr48Ag8Al8	106.5	None	None	None
Cu60Zr20Hf10Ti10	107	None	None	None
Cu50Zr50	107	None	None	None
(Zr41Ti14Cu12.5Ni10Be22.5)98Y2	107.3	40.2	108.7	5.86
(Cu50Zr50)96Al4	107.6	None	None	None
[Zr41Ti14Cu12.5Ni10Be22.598]Y2	107.6	40.3	109	5.86
Cu50Zr44Al6	107.96	None	None	None
Pd40Ni40P20	108	38.6	184.9	9.413
(Zr54Al17C029)98Ta2	108	None	None	None
Ni55Pd35P10	108	None	None	None
(Cu0.5Hf0.5Ti0.1Ag0.005)92Ta6	108	None	None	None
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)95Al5	108.9	40.5	115.8	5.87
Ni45Ti20Zr25Al10	109	40.2	129.6	None
(Cu50Zr50)94Al6	109	None	None	None
Zr49Cu45Al6	109	None	None	None
Cu47Ti34Zr11Ni8	109	None	None	None
Ni80P20	109	36.7	161	8
Cu47Ti33Zr11Ni8	109	None	None	None
Pd79Ag3.5P6Si9.5Ge2	109.2	None	None	None
Cu36Zr48Ag8Al8	109.4	None	None	None
Zr34Ti15Cu10Ni11Be28Y2	109.8	41	113.9	5.78
Ti50Ni24Cu20B1Si2Sn3	110	None	None	6.04
Ti50Ni24Cu20B1Si2Sn2	110	None	None	None
Ti50Ni24Cu20B1Si2Sn2	110	None	None	None
(Zr54Al17C029)98.5Ta1.5	110	None	None	None
Ni50.1Pd33.4Si16.5	110	None	None	9.3
Zr56.25Ti13.75Nb5Be22.5Cu1.25Ni1	110	None	None	None
Ni40Cu9Zr28.5Ti16.5Al10	110.2	None	None	None
Zr34Ti15Cu10Ni11Be28Y2	110.3	41.7	103.7	5.778
Zr55Co29Al16	110.7	40.5	139.5	None
Ni40Cu6Ti16Zr28Al10	111	None	None	None
(Zr54Al17C029)99Ta1	111	None	None	None
(Cu50Zr50)93Al7	111.6	None	None	None
Hf62Ni9.75Al13	112	41.3	128.8	11.1
Zr52.5Al10Ti5Cu17.9Ni14.6	112	None	None	None
Zr53Co31Al16	112.5	41.2	140.1	None
Cu60Zr20Hf10Ti10	112.7	None	None	None
Cu50Hf43Al7	113	42	None	11
Cu47Ti33Zr11Ni8	113	None	None	None
Ni45Ti20Zr25Al10	114	None	None	None
Ni45Ti20Zr25Al10	114	None	None	None
Hf49Ta2Cu27.75Ni9.25Al12	114.6	42.4	127.6	11.3
Pd40Ni10Cu30P20	114.6	None	None	None
Zr25Ti30Cu7.5Be27.5Al10	114.8	43.7	101.7	4.926
Cu60Zr22Ti18	115	None	None	None
(Cu50Zr50)92Al8	115.2	None	None	None
Cu49Hf42Al9	115.3	None	None	None
Zr41Ti13Ni10Cu13Be23	116	None	None	None
Hf48Cu29.25Ni9.75Al13	116.4	43.1	128.9	11
Hf46Nb2Cu29.25Ni9.75Al13	116.5	43.1	130.3	11.8
Ni39.8Cu5.97Ti15.92Zr27.86Al9.95Si0.5	117	None	None	None
Pd40Ni40P20	117	None	None	None
Zr65Al10Ni10Cu15	117	None	None	None
Zr55Al10Ni5Cu30	117	None	None	None
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)88Al12	117.1	44.1	112.6	5.66
(Cu50Zr50)90Al10	117.3	None	None	None
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)85Al15	117.5	48.4	116.9	5.72
Zr52.5Al10Ti5Cu17.9Ni14.6	118	None	None	None
Cu47Ti33Zr11Ni8	118	None	None	None
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)90Al10	118.1	44.5	113.8	5.89
Zr52.5Al10Ti5Cu17.9Ni14.6	119	None	None	None
Zr52.5Al10Ti5Cu17.9Ni14.6	119	None	None	None
Co75Si15B10	120	39	None	None
Co85P15	120	39	None	7.9
Fe72P25Al3	120	None	None	None
Fe74P23Al3	120	None	None	None
Fe77P20Al3	120	None	None	None
Fe79P18Al3	120	None	None	None
Fe79P18Si3	120	None	None	None
Cu60Hf40	120	None	None	None
Co85P15	120	39	None	None
Cu49Hf42Al9	120.3	None	None	None
Fe83P17	121	None	None	None
Ni60P16Fe15B6Al3	121	None	None	7.59
Ni63Pd17P20	121	None	None	None
Cu53Zr41.4Al5.6	121.19	None	None	None
Pd40Ni40P20	121.6	None	None	None
Ni40Cu5Ti16.5Zr28.5Al10	122	None	None	None
Fe80P13C7	122	30	None	None
Fe80P15C5	122	None	None	None
Fe80.3P14.7C5	122	None	None	None
Ni75P16B6Al3	122	None	None	7.71
Cu50Zr43Al7	122	None	None	None
Ni60P16Co15B6Al3	123	None	None	None
Cu56Zr38.7Al5.3	123.36	None	None	None
Zr55Cu30Al10Ni5	123.5	46.9	None	None
Cu60Hf30Ti10	124	None	None	None
Cu60Hf30Ti10	124	None	None	None
Cu60Hf25Ti15	124	None	None	None
Fe40Ni40P14B6	125	None	None	7.51
Fe60P16Ni15B6Al3	125	None	None	7.22
Fe74P23Si3	125	None	None	None
Fe77P20Si3	125	None	None	None
Ni60Nb40	125	None	None	None
Fe40Ni38B18Mo4	127	None	None	None
Ni39Fe38P14B6Al3	127	None	None	7.52
Ni45Co30P16B6Al3	127	None	None	None
Ti53Zr6Cu26.5Ni4.5Ta10	128	None	None	None
Fe75P16B6Al3	129	None	None	7.1
NI45Fe30P16B6Al3	129	None	None	7.46
Cu55Zr30Ti10Co5	130	None	None	None
Cu55Zr30Ti10Co5	130	None	None	None
Fe45Co30P16B6Al3	130	None	None	7.34
Fe72P25Si3	130	None	None	None
Fe80P20	130	None	None	7.1
(Cu0.6Hf0.25ti0.1)96Nb4	130	None	None	None
(Cu60Hf25Ti15)96Nb4	130	None	None	None
(Zr48Cu36Al8Ag8)76Ta24	130	None	None	None
Co45Fe30P16B6Al3	131	None	None	None
Ti40Zr29Cu8Ni7Be16	131	None	None	None
Ni50Nb50	132	48.2	168.3	None
Ni50Nb50	132	48.1	None	None
Ni50Nb50	132	None	None	None
Nb60Ni40	132	None	None	None
Ni49Fe29P14B6Si2	132	48	170	7.65
Ni49Fe29P14B6S2	132	48	169	None
Nb50Ni50	132	None	None	None
Co60P16Fe15B6Al3	133	None	None	None
Ni40Cu5Ti17Zr28Al10	133.9	None	None	None
Ni40Cu5Ti17Zr28Al10	133.9	None	None	None
Fe80P16C3B1	135	None	None	7.3
Fe85B15	136	None	None	None
Co75P25	137	None	None	7.9
Fe80P13C7	137.3	49	228.5	None
Fe60P16Co15B6Al3	138	None	None	None
Fe45Co30P16B6Al3	139	None	None	None
Ti40Zr29Cu8Ni7Be16	139	None	None	None
(Zr48Cu36Al8Ag8)69Ta31	139	None	None	None
Ni53Nb20Ti10Zr8Co6Cu3	140	None	None	None
Ni53Nb20Ti10Zr8Co6Cu3	140	None	None	None
(Zr48Cu36Al8Ag8)37Ta63	140.9	None	None	None
Co45Fe30P16B6Al3	141	None	None	None
Ni36Fe32Cr14P12B6	141	None	None	None
Co60P16Fe15B6Al3	142	None	None	None
(Cu50Zr43Al7)98Si2	144	None	None	None
(Zr48Cu36Al8Ag8)54Ta46	144.5	None	None	None
(Zr48Cu36Al8Ag8)46Ta54	144.6	None	None	None
Al85Ni5Y10	145	None	None	3.218
Ni52.5Zr20Nb15Pd12.5	145	None	861	None
Fe82B15Si3	145	None	None	None
Ni57.5Zr20Nb15Pd7.5	146	None	870	None
Ni55Zr20Nb15Pd10	146	None	864	None
Ni60Zr20Nb15Pd5	148	None	873	None
Fe70B5C5Si3Al5Ga2P10	149.7	58.5	113.4	None
Ni62.5Zr20Nb15Pd2.5	150	None	867	None
Fe74Nb6B17Y3	150	None	None	None
Zr52.5Al10Ti5Cu17.9Ni14.6	150	None	None	None
Fe75P15C10	150	None	None	6.95
Fe80B17Si3	150	None	None	None
Fe74.5Mo5.5P12.5C5B2.5	151.1	56.9	None	7.54
Fe70Mo5Ni5P12.5C5B2.5	152.5	57.3	None	7.48
Fe68Mo5Ni5Cr2P12.5C5B2.5	152.7	57.9	None	7.5
Ni60B20Fe20	153	None	None	7.49
Fe75Mo5P10C7.5B2.5	155	None	None	None
Fe75Mo5P10C7.5B2.5	155	None	None	None
Fe77B20Si3	155	None	None	None
Ni82B18	155	None	None	None
Ti42.2Zr8.4Cu37.1Ni6.3Ta6	155	None	None	None
Ni50Fe30B20	156	58	156	7.85
(Fe0.76Si0.096B0.084P0.06)99.9Cu0.1	158	None	None	None
Fe83B17	158	60	None	7.47
Fe40Ni40B20	159.7	59.6	167	None
Fe40Ni40B20	160	59.6	167	7.716
Fe65.5Cr4Mo4Ga4P12C5B5.5	161	None	None	None
Fe80P11C9	161	61	148	None
Fe65.5Cr4Mo4Ga4P12C5B5.5	161	None	None	None
((Fe0.8Co0.2)0.75B0.2Si0.05)96Nb4	161	61	None	None
Ni60Sn6(Nb0.8Ta0.2)34	161.3	None	None	None
Fe78B22	162	None	None	7.38
 Fe0.76Si0.096B0.084P0.06	163	None	None	None
(Fe0.76Si0.096B0.084P0.06)99.7Cu0.3	163	None	None	None
(Fe0.76Si0.096B0.084P0.06)99.5Cu0.5	163	None	None	None
(Fe0.76Si0.096B0.084P0.06)99.4Cu0.6	163	None	None	None
Fe50Ni30B20	163	60.5	180	None
Ni60Sn6(Nb0.6Ta0.4)34	163.7	None	None	None
Fe76Si9.6B8.4P6	165	None	783	None
Co83B17	165.5	None	None	None
Fe80B20	166	64	138	7.4
Fe60Ni20B20	166	61	206	None
Fe60B20Ni20	167	61	206	7.55
Fe75B20Ni5	168	63	170	7.43
Fe80B20	168	64.9	141	None
Fe70B20Ni10	169	62	207	7.47
Ta42Ni36Co22	170	None	None	12.98
Ta42Ni36Co22	170	None	None	None
Fe60Cr3Mo10P14C10B3	171	64	174	None
Fe50Co30B20	171	None	None	7.59
Fe70B20Co10	171	None	None	7.46
Cu47Ti33Zr11Ni6Sn2Si1	171	None	None	None
Fe62Cr3Mo10P12C10B3	172	64.6	172	None
Fe77B23	172	None	None	7.34
Fe63Cr3Mo10P12C7B5	173	65.2	174	None
Fe60B20Co20	173	65	164	7.56
Fe35.5Ni35.5Nb6B23	174	64.9	203.8	7.763
Co60B20Fe20	174.1	65.7	166	None
Co40Fe40B20	174.2	65	182	7.765
Fe40Co40B20	174.2	65	184	None
Co50Fe30B20	174.4	None	None	7.84
Co70B20Fe10	174.7	None	None	8.06
(Fe0.75B0.15Si0.1)96Nb4	175	None	None	None
Fe63Cr3Mo10P12C9B3	175	65.5	175	None
Fe63Cr3Mo10P12C8B4	175	65.5	174	None
Fe55Ni15Mo5P10C10B5	175	None	None	None
(Fe0.75B0.15Si0.1)96Nb4	175	None	None	None
